:Product: Daily Geomagnetic Data     quar_DGD.txt
:Issued: 1230 UT 01 Mar 2018
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Current Quarter Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2018 02 08     2  0 1 0 1 1 1 1 1     1  0 0 0 2 0 0 0 0     4  1 1 1 1 1 0 1 2
2018 02 09     2  1 2 1 0 0 0 1 1     0  0 1 0 0 0 0 0 0     5  1 3 1 0 0 0 1 2
2018 02 10     7  1 2 2 3 2 1 2 1    10  0 0 0 4 5 2 0 0     7  1 2 1 3 2 2 2 1
2018 02 11     2  1 0 0 0 1 1 1 0     0  0 0 0 1 0 0 0 0     3  1 0 0 1 0 1 1 1
2018 02 12     3  0 2 2 0 0 0 2 1     0  0 0 0 0 0 0 1 0     4  0 1 2 1 0 0 2 1
2018 02 13     3  0 1 1 1 1 1 1 1     0  0 0 0 0 0 0 0 0     3  0 1 1 1 1 1 1 1
2018 02 14     2  1 0 0 0 1 1 1 1     0  0 0 0 0 0 0 0 0     3  1 0 0 0 0 0 1 2
2018 02 15     6  1 0 2 1 2 3 2 2    13  0 0 2 2 4 5 2 2    11  1 0 2 1 2 4 3 3
2018 02 16     7  2 2 3 2 1 1 1 2     4  2 1 2 1 1 1 1 1     7  2 2 2 1 1 1 2 2
2018 02 17    10  2 4 3 1 3 1 1 1    18  2 3 3 5 5 2 1 1    12  3 4 3 2 3 2 1 2
2018 02 18    14  4 1 3 2 3 4 2 2    19  3 2 3 4 4 5 2 1    14  4 2 3 2 3 4 2 2
2018 02 19    11  4 3 2 1 2 2 3 2    23  3 4 2 4 5 4 4 1    17  5 4 2 2 2 2 4 3
2018 02 20     3  3 0 0 1 1 1 1 0     4  2 0 0 2 2 2 0 0     5  3 1 0 1 1 1 1 0
2018 02 21     3  0 0 2 2 1 0 1 0     4  0 0 0 4 1 0 1 0     4  0 0 1 2 1 1 1 1
2018 02 22     9  2 1 1 2 2 3 3 3    13  0 1 0 4 4 4 3 1    11  2 1 1 2 2 3 4 4
2018 02 23    11  2 3 3 4 1 2 2 1    21  1 2 4 6 3 3 3 2    16  2 4 3 5 2 2 3 2
2018 02 24     6  3 3 2 2 1 0 0 0    11  3 3 4 3 3 0 0 0     9  3 3 3 2 2 0 1 1
2018 02 25     2  0 0 1 0 0 1 1 1     2  0 0 0 0 0 2 1 1     4  1 0 1 0 0 2 2 2
2018 02 26     6  1 1 2 1 2 1 1 3    10  1 1 3 4 3 3 0 0     7  2 2 2 2 2 1 1 3
2018 02 27    14  3 5 2 2 4 1 1 0    30  3 4 2 3 7 4 2 1    19  4 5 2 2 4 2 1 1
2018 02 28     4  1 2 1 1 1 1 1 1    15  1 2 2 5 5 2 0 1     7  2 2 1 2 2 1 1 1
2018 03 01    -1  1 2 1 1-1-1-1-1    -1  0 1 1 2-1-1-1-1     6  1 2 1 1-1-1-1-1
